datetime,IESP,spi_3,spi_6,spi_12
1940-01-01,0.5311565043467211,,,
1940-02-01,0.4574235436987978,,,
1940-03-01,0.4506042559683665,0.5871378709108053,,
1940-04-01,0.40340577590298676,0.3741607137557428,,
1940-05-01,0.36724632667201984,0.420110769424043,,
1940-06-01,0.4418747173476361,0.5976686765078094,0.5169488838023563,
1940-07-01,0.4406943094973566,0.7180360335568883,0.45056360134801654,
1940-08-01,0.4536043583081003,0.8439725321892135,0.5130151978450049,
1940-09-01,0.4423310213736302,0.5568506863359123,0.5032676338456794,
1940-10-01,0.4450173775814953,0.6040748787467999,0.6270290225214011,
1940-11-01,0.4598078691642393,0.5767430597008465,0.655326587342279,
1940-12-01,0.41580404407061844,0.5101254228818958,0.4209945729480019,0.3982602167968136
1941-01-01,0.5894162612355198,0.732036227148616,0.667959567767411,0.5239814127040625
1941-02-01,0.673510411171117,0.8065986008347608,0.7333509478789595,0.6275455623219376
1941-03-01,0.6752347312441095,0.8598459517763329,0.7379606786317443,0.637901547013607
1941-04-01,0.731394094185478,0.7715083198579802,0.775384833009729,0.7358215068986943
1941-05-01,0.7347057046773293,0.6812043249545947,0.7860452889170584,0.7635079132526603
1941-06-01,0.770452354275589,0.7605744561164985,0.8932195447379812,0.728136123945855
1941-07-01,0.7740806135046137,0.7284189236301774,0.7681270425134649,0.7303427374530491
1941-08-01,0.7836308742655583,0.7493811410953399,0.6902171364728389,0.7240635211876388
1941-09-01,0.8237029021583193,0.7093602342625577,0.757037516626978,0.7639545663709021
1941-10-01,0.44694829487086646,0.6181525893802969,0.6475240919188769,0.7248222243021314
1941-11-01,0.4592821289161946,0.5906052559624061,0.6038386063912288,0.7193233835150394
1941-12-01,0.42343280597221394,0.4339613149402652,0.4543844737671296,0.7367417599692511
1942-01-01,0.41171645986121785,0.4745557127570925,0.4240067243089103,0.5798636860664105
1942-02-01,0.3973026348076759,0.47292658732042725,0.40422213685149166,0.484554672422604
1942-03-01,0.43081041294436545,0.5819795888180384,0.39834234239032035,0.5147650539306995
1942-04-01,0.4579411227971382,0.6367683705814213,0.46179742013375563,0.48096055179669417
1942-05-01,0.4098481339041826,0.6128807016074248,0.43351237446749064,0.42729580056829974
1942-06-01,0.38926548310808945,0.5315192549164628,0.4654938404521804,0.36719580400730106
1942-07-01,0.39143158144925794,0.43265217163276676,0.4920295344242322,0.3673440168414668
1942-08-01,0.3865942120555468,0.4503056164582585,0.5006121600301633,0.3549947834696975
1942-09-01,0.388453060472977,0.552009941986207,0.4318088799494129,0.3101032417266809
1942-10-01,0.3672523290877875,0.5381578139371461,0.34808811484828445,0.34070147485751556
1942-11-01,0.367313406565242,0.5273153699509393,0.3820473037542673,0.3320240744428477
1942-12-01,0.373880683901165,0.5331914220772458,0.44183745450093365,0.36982095803732906
1943-01-01,0.3875786256495312,0.5703494558457824,0.4573155408400337,0.3850533138332441
1943-02-01,0.35981252571326133,0.5628674962990408,0.43644333849369815,0.379581516762547
1943-03-01,0.3704424428846356,0.5654261981459854,0.45097610240851455,0.3472168039643242
1943-04-01,0.34453960107060116,0.47096323814604824,0.41353212792835115,0.26568644890757054
1943-05-01,0.29168506959633306,0.47006268339124485,0.39613593003828274,0.26781294568260894
1943-06-01,0.2682717012713668,0.3678798078748685,0.35083788123627596,0.2711120828482807
1943-07-01,0.2761987225940775,0.42453719124568345,0.3213962824164496,0.281282765729609
1943-08-01,0.263903015788737,0.4156667811985797,0.3206159883910399,0.2778731094398737
1943-09-01,0.2994275356012209,0.6541914927404398,0.3638401511867212,0.3197430864509518
1943-10-01,0.3039006714844865,0.6505593136082525,0.4691941227516274,0.3590689161908804
1943-11-01,0.2636144116257094,0.5646867494213886,0.41747898918791315,0.318670801737416
1943-12-01,0.502445138118973,0.8394141458442004,0.8066350331324108,0.5518395396039548
1944-01-01,0.4310639108217873,0.7317538551204612,0.6954041308930097,0.4789238247366611
1944-02-01,0.4042051537676362,0.7553662906565741,0.6678078475822073,0.4838982615055428
1944-03-01,0.3651545940323042,0.3099922847553833,0.5787509600688778,0.4291530486758481
1944-04-01,0.3273596768245308,0.3082227255798372,0.501583700303555,0.40771239211297944
1944-05-01,0.3044793148093419,0.39611583132509476,0.5686041174325103,0.4454434597775482
1944-06-01,0.28641299040128665,0.44026976816817376,0.15751578758770407,0.45431471850086097
1944-07-01,0.2866264127608821,0.5280317386561606,0.24466491870050078,0.4471120366987327
1944-08-01,0.2926428672493246,0.5209633080511522,0.2799213703070063,0.4684488156672587
1944-09-01,0.342874423578075,0.7167001085237632,0.4749462044119461,0.4834518281741398
1944-10-01,0.3057266775782966,0.6340938129095548,0.509293991009448,0.4459198299406421
1944-11-01,0.28444749322637664,0.5495307696500158,0.4363068955288928,0.4670983623329945
1944-12-01,0.26522164444868157,0.39572565913509583,0.43059864853568813,0.1511749369882952
1945-01-01,0.28745358486084976,0.5061759851392654,0.46477788081507837,0.23446881694267852
1945-02-01,0.2240651226431981,0.4759097360048701,0.37169923332049726,0.20351449884342315
1945-03-01,0.184532656377928,0.42002668207949523,0.22176020353716536,0.19136826631815979
1945-04-01,0.12467701583600982,0.0,0.12571255264418513,0.13608589992889442
1945-05-01,0.059098057179716446,0.14708810563782843,0.12326630388573973,0.08068878649179673
1945-06-01,0.05979570940064094,0.27757900286502774,0.14142572732914416,0.12140922082441813
1945-07-01,0.06593922883671904,0.46471543943834503,0.0,0.13475088346174607
1945-08-01,0.058571895629742576,0.5768447917168463,0.10476624982893729,0.12362836134251637
