Año;Mes;Precipitaciones;ISSP
1954;03;75.7721;-0.0831874
1954;04;39.1232;-0.246457157
1954;05;5.01401;-0.59550409
1954;06;14.4896;-0.607783925
1954;07;3.13956;-0.599258969
1954;08;0.585091;-0.634133216
1954;09;0.442742;-0.783070189
1954;10;5.12077;-1.1258959
1954;11;53.4072;-1.164293028
1954;12;27.289;-1.403342864
1955;01;126.24;-0.744778348
1955;02;98.4039;-0.28705917
1955;03;43.3866;-0.164312698
1955;04;14.8493;-0.53402299
1955;05;34.8388;-0.629421124
1955;06;14.7021;-0.639893725
1955;07;0.0984679;-0.657232131
1955;08;3.11527;-0.670588142
1955;09;10.8521;-0.730997378
1955;10;91.3323;-0.340625939
1955;11;106.246;0.070351368
1955;12;104.234;0.485690274
1956;01;69.2305;0.659410096
1956;02;27.9597;0.199547744
1956;03;139.561;1.140221887
1956;04;79.8629;1.323428198
1956;05;8.45458;0.021144252
1956;06;0.429148;-0.110714522
1956;07;1.38585;-0.117104221
1956;08;13.234;-0.044404179
1956;09;40.2363;0.145088329
1956;10;47.6539;0.163991145
1956;11;21.9058;-0.14231373
1956;12;28.934;-0.36737345
1957;01;19.4583;-0.616947766
1957;02;49.4746;-0.575354172
1957;03;46.851;-0.423144261
1957;04;78.9673;-0.247554697
1957;05;79.8334;0.039709587
1957;06;22.8548;0.098572682
1957;07;0.0158135;0.08053133
1957;08;4.0216;0.07488332
1957;09;28.6526;0.165860747
1957;10;54.399;0.242128142
1957;11;53.7804;0.206904941
1957;12;45.5689;0.123318888
1958;01;62.9415;0.243553092
1958;02;27.0568;0.094491595
1958;03;77.239;0.505140198
1958;04;23.1767;0.042041574
1958;05;25.5731;-0.132157909
1958;06;24.8137;-0.056635095
1958;07;0.148005;-0.073552207
1958;08;4.70717;-0.073369698
1958;09;3.23721;-0.198540754
1958;10;33.3736;-0.301086604
1958;11;12.9012;-0.683972269
1958;12;303.337;1.424663952
1959;01;66.4563;1.57479023
1959;02;42.9495;0.327030444
1959;03;71.4047;0.688060485
1959;04;35.1397;0.14378246
1959;05;70.1744;0.348900525
1959;06;0.791754;0.212155466
1959;07;0.102267;0.194849369
1959;08;0.873611;0.162428878
1959;09;27.2038;0.241084798
1959;10;78.8008;0.524880469
1959;11;69.8172;0.626044316
1959;12;74.3875;0.787549788
1960;01;56.9764;0.857053025
1960;02;117.938;1.480902493
1960;03;98.9508;2.076201918
1960;04;34.8586;0.141391809
1960;05;39.1031;0.082259968
1960;06;39.4509;0.28226675
1960;07;0.0384884;0.26441824
1960;08;2.82431;0.248587722
1960;09;18.1957;0.250633085
1960;10;183.983;1.428964432
1960;11;93.2057;1.729038815
