datetime,IESP,spi_3,spi_6,spi_12
1940-01-01,0.5034329471481188,,,
1940-02-01,0.42476293682656996,,,
1940-03-01,0.4330213662339393,0.6218290815792717,,
1940-04-01,0.4024233145764801,0.41085961497788276,,
1940-05-01,0.3879772875644231,0.3652391119794145,,
1940-06-01,0.41585019310420557,0.44213604589483324,0.5813624984311893,
1940-07-01,0.4161093490539674,0.5933141104909894,0.4666105202692614,
1940-08-01,0.42141950294086816,0.7560659195419384,0.46377633390144607,
1940-09-01,0.41327587608500216,0.4128447809863151,0.39655940962354813,
1940-10-01,0.44708268566684123,0.5946083719947991,0.6228233077313201,
1940-11-01,0.4103390537346449,0.49842195796020333,0.567256342793919,
1940-12-01,0.3525642680479952,0.4050212311126475,0.38940107989041306,0.3868948296728466
1941-01-01,0.41445774198045365,0.43530077685792323,0.48555075863063035,0.362711946899033
1941-02-01,0.4468797482794589,0.5462768552924887,0.5289043182891037,0.40763900466353215
1941-03-01,0.4226707710414593,0.6329142211980099,0.5305160483694298,0.39407215568954695
1941-04-01,0.4490436061434496,0.5802917056571311,0.4973009101823544,0.45266255431419816
1941-05-01,0.4493850541634726,0.5118046812893917,0.5415261215799111,0.4699437993785276
1941-06-01,0.45913421038292423,0.5933622674874167,0.6574721888228919,0.4497631075518554
1941-07-01,0.4650324001875181,0.6032982662924244,0.6107215512802494,0.45623511381196197
1941-08-01,0.46548186179897005,0.6440287696077172,0.5497146607407054,0.45090424948559726
1941-09-01,0.49636351733655315,0.6411412717459021,0.6466545248797112,0.4941671095008552
1941-10-01,0.3786696158184515,0.4608450365254462,0.513802995056155,0.40699863214850995
1941-11-01,0.3722378413597457,0.42269469190145736,0.46160985198841803,0.4189133761966847
1941-12-01,0.33445199042964446,0.27737494211338304,0.36376059614171885,0.43725575549192774
1942-01-01,0.3121408851618586,0.3246823861659058,0.3112903123689884,0.32648786726909534
1942-02-01,0.30420645875227426,0.37219722296609725,0.3282562455723482,0.2730941409540712
1942-03-01,0.3484194391756774,0.49852250409438814,0.3592637050738381,0.34151059305598713
1942-04-01,0.3992177431831862,0.6419911263395149,0.4697253109978,0.36776580999237296
1942-05-01,0.3891990903499612,0.6403628716768445,0.4911904839296954,0.35914512678719385
1942-06-01,0.3808573243164167,0.5822606517967448,0.5409647110899698,0.33653843321345894
1942-07-01,0.38170993651791557,0.41987768647458784,0.6082969975566459,0.3304124520527273
1942-08-01,0.38956053485041875,0.49725979270421744,0.644413092814772,0.3409816026786267
1942-09-01,0.397388670657199,0.5465404793203271,0.5865087901602115,0.30899857722980884
1942-10-01,0.4048403602969121,0.575561558152614,0.5299678593102108,0.3886379242220392
1942-11-01,0.43702990972340394,0.5723119699010372,0.5764550050457412,0.432398581053423
1942-12-01,0.41481325414459397,0.5310545917028568,0.5430593461739787,0.45884557455029484
1943-01-01,0.41594907369174156,0.4912277041265544,0.5223910625442149,0.483972042002244
1943-02-01,0.3837152365437798,0.42204801814967274,0.47503681988596036,0.45634886168644795
1943-03-01,0.41940001023574514,0.4794947808249881,0.5092461381971899,0.4468863035676264
1943-04-01,0.4171580761828575,0.4599248144661712,0.4726312576307912,0.3787991738161537
1943-05-01,0.40087950714634557,0.49809722343033647,0.43588074173007757,0.3749664698119993
1943-06-01,0.38959567555030006,0.35939362606568337,0.41720624504489434,0.37193609225501567
1943-07-01,0.3954400826641189,0.38683790688009184,0.4292477662094659,0.3784794780419014
1943-08-01,0.3935912009958839,0.38016798134315516,0.4809143211845162,0.36712478429573925
1943-09-01,0.41780765311069257,0.6034719616787813,0.4380254153125416,0.38635509047717415
1943-10-01,0.39177561788849236,0.5021945457319249,0.4418650422815504,0.3552272861993395
1943-11-01,0.34238817154585993,0.3450584156674186,0.3223499244054388,0.2557338873691748
1943-12-01,0.4928802748746286,0.6030279628941225,0.6268331296489972,0.44411154042772605
1944-01-01,0.37460918214591865,0.5323575448267466,0.5234699626715299,0.37561726271994816
1944-02-01,0.38617477477028606,0.636635033262603,0.5448771280378092,0.4313656789413986
1944-03-01,0.3756651217356034,0.3486591480805924,0.4991122559866683,0.37606793727790433
1944-04-01,0.3763784790598577,0.4613235472959603,0.5069174658652832,0.3750596445638834
1944-05-01,0.3886346371857028,0.4610162866326795,0.5991845697484873,0.41400947511754255
1944-06-01,0.40210763987182246,0.5652279018298292,0.4188119224679053,0.4435848460586911
1944-07-01,0.4047920163532557,0.6532939106998497,0.5362485182558732,0.4400186722587019
1944-08-01,0.42045819871522966,0.7468172503384283,0.5391515819130335,0.46016051013216963
1944-09-01,0.4499888608203316,0.6807958239052277,0.6481123377454019,0.465893027381049
1944-10-01,0.4111388263511803,0.5919398311048718,0.6518457825400499,0.47824023939408916
1944-11-01,0.40062339422448034,0.48589683052178967,0.552844364819808,0.516288174500452
1944-12-01,0.37452379311527084,0.37913480787039955,0.4630896162354404,0.31127734138188834
1945-01-01,0.38036232728978797,0.40064749852533255,0.4555918414108954,0.3810133092537288
1945-02-01,0.3215401678946427,0.34790255313551155,0.35535304963865616,0.2891059717343616
1945-03-01,0.30178462990898036,0.28390592548806226,0.28297694123789924,0.27921154981958063
1945-04-01,0.2684555881802863,0.013458259284417129,0.21619827097263367,0.2180979879892817
1945-05-01,0.24076327962242702,0.14110068174231571,0.2068172984029708,0.16742641093224403
1945-06-01,0.23670255431054818,0.10501666324243553,0.14413610711972769,0.13977363789092156
1945-07-01,0.23668729450450937,0.28460343131650834,0.0,0.136415606573754
1945-08-01,0.2366502169867476,0.43617176989242207,0.14084973606924955,0.11183644680167026
