Año;Mes;Precipitaciones;ISSP
1954;3;82.8316;-0.887526932
1954;4;79.1838;-0.550082737
1954;5;14.3529;-1.007994767
1954;6;15.5397;-1.077101463
1954;7;1.67402;-1.095254902
1954;8;0.000574937;-1.20349818
1954;9;1.13428;-1.419465038
1954;10;22.434;-1.740926732
1954;11;50.6982;-1.6463905
1954;12;67.5534;-1.462902056
1955;1;105.081;-0.844276403
1955;2;71.2445;-0.638525335
1955;3;28.651;-0.770323333
1955;4;37.1883;-0.858398576
1955;5;40.2142;-1.054270963
1955;6;23.9911;-1.037743841
1955;7;0.47491;-1.068047263
1955;8;17.3759;-1.000235045
1955;9;19.8184;-1.026885043
1955;10;42.4475;-1.145559932
1955;11;56.0927;-0.996363924
1955;12;71.086;-0.777081407
1956;1;45.2061;-0.765138228
1956;2;19.5377;-1.083306353
1956;3;58.4872;-0.91278903
1956;4;69.3042;-0.675449891
1956;5;30.6763;-0.967965057
1956;6;7.23782;-1.121190558
1956;7;10.3571;-1.051362682
1956;8;9.15466;-1.066852185
1956;9;18.4546;-1.107320887
1956;10;33.0738;-1.320974799
1956;11;36.9134;-1.366113064
1956;12;13.4691;-1.730633834
1957;1;39.4024;-1.77749665
1957;2;29.7593;-1.992094405
1957;3;35.0073;-2.059487188
1957;4;94.3976;-1.567889152
1957;5;109.192;-1.064843924
1957;6;27.4302;-1.013470118
1957;7;2.39319;-1.024336567
1957;8;9.59258;-1.035388845
1957;9;39.39;-0.863729589
1957;10;88.005;-0.520793072
1957;11;70.468;-0.225939325
1957;12;34.8927;-0.37338545
1958;1;43.7014;-0.376688646
1958;2;14.8762;-0.742089423
1958;3;61.4155;-0.541901098
1958;4;83.4576;-0.161152621
1958;5;27.9692;-0.48109748
1958;6;7.19096;-0.634797791
1958;7;0.28288;-0.667046957
1958;8;5.73713;-0.717164586
1958;9;16.3734;-0.778721048
1958;10;34.3257;-0.979690083
1958;11;10.9662;-1.287738373
1958;12;168.769;-0.078682779
1959;1;53.8505;0.02084979
1959;2;43.3493;-0.056047278
1959;3;82.9345;0.362182332
1959;4;20.118;0.10114226
1959;5;150.683;1.02459508
1959;6;13.6329;0.357403592
1959;7;9.62636;0.419827245
1959;8;8.58704;0.398586331
1959;9;58.0615;0.759434576
1959;10;73.3857;0.954241024
1959;11;60.5671;1.148773894
1959;12;88.8189;1.547735034
1960;1;57.4264;1.683500413
1960;2;122.342;2.406996942
1960;3;130.097;3.303100622
1960;4;68.9481;3.536831578
1960;5;28.5809;0.132084132
1960;6;65.3779;0.567963039
1960;7;14.4728;0.679493248
1960;8;0.109663;0.338692997
1960;9;4.19333;0.153721966
1960;10;132.667;0.949196234
1960;11;47.2041;1.008328496
1960;12;94.3182;1.463011298
1961;1;31.8759;0.322705856
1961;2;2.61109;-0.166971159
1961;3;10.8505;-0.479132737
1961;4;38.1933;-0.557024817
1961;5;27.0323;-0.886462817
1961;6;22.7381;-0.882631718
1961;7;2.80649;-0.889310404
1961;8;2.03322;-0.976957904
1961;9;33.8541;-0.861391159
1961;10;26.4909;-1.141746311
1961;11;80.7928;-0.742276519
1961;12;65.6263;-0.578314418
1962;1;29.8184;-0.722287122
1962;2;23.8812;-0.99644473
1962;3;113.76;-0.265875715
1962;4;96.0261;0.242223098
1962;5;33.6624;-0.020035407
1962;6;32.205;0.079719063
1962;7;0.71614;0.051859904
1962;8;15.2004;0.097628867
1962;9;26.2054;0.135695152
1962;10;88.3987;0.482620835
1962;11;76.0081;0.83360965
1962;12;72.2212;1.064394581
1963;1;95.2668;1.583577844
1963;2;151.793;2.605486655
1963;3;23.7375;0.264246899
1963;4;50.6762;0.312837814
1963;5;48.7002;0.202949829
1963;6;51.534;0.498555408
1963;7;23.1883;0.698395429
1963;8;8.84398;0.427193471
1963;9;60.7772;0.815558549
1963;10;5.86309;-0.043535514
1963;11;55.5076;0.099731968
1963;12;117.958;0.793945063
1964;1;5.37616;0.054197219
1964;2;73.5732;0.283543842
1964;3;86.1025;0.733873215
1964;4;36.4091;0.349860452
1964;5;7.22197;-0.180305732
1964;6;65.765;0.259495466
1964;7;3.53702;0.260218876
1964;8;8.80301;0.241166278
1964;9;17.4411;0.190428287
1964;10;14.0544;-0.215939711
1964;11;35.8257;-0.272099097
1964;12;123.453;0.47779209
1965;1;52.4351;0.562983117
1965;2;32.0245;0.254185326
1965;3;48.0856;0.319308429
1965;4;16.7329;0.023968828
1965;5;15.4388;-0.42294032
